,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
0,@BBC,0.0,0.0,1.0,0.0,A 42.8 millisecond flash of the word “death” across a computer screen is enough to make us act differently. So what… https://t.co/RPT6s8A9B5,Tue Sep 04 19:31:06 +0000 2018,1
1,@BBC,0.9054,0.0,0.615,0.385,"Is monogamy outdated? Can you love more than one person? After years of respectable marriage, Joy and Alan are goin… https://t.co/iVjrJQjM6P",Tue Sep 04 19:03:06 +0000 2018,2
2,@BBC,-0.1195,0.212,0.593,0.195,"🤖 @jimalkhalili explores the AI revolution, arguing we should see it as friend not foe. 

The Joy of AI | 9pm |… https://t.co/q6WOZb4Z17",Tue Sep 04 18:32:01 +0000 2018,3
3,@BBC,-0.34,0.188,0.684,0.128,"From the creator of Fleabag comes your new fav binge watch.

Killing Eve, coming soon to @BBCThree. https://t.co/s6MW7SkBKi",Tue Sep 04 18:06:10 +0000 2018,4
4,@BBC,0.624,0.0,0.786,0.214,"One of Britain’s most successful actors, @rizmc, opens up about dual identities, stereotypes and representation. https://t.co/MWKycuZ7e2",Tue Sep 04 16:06:05 +0000 2018,5
5,@BBC,-0.5423,0.2,0.8,0.0,We all know a 'ghost member' or someone who overshares. Here's how to avoid being 'that person' in a group chat...… https://t.co/6HAxtKKnav,Tue Sep 04 13:07:03 +0000 2018,6
6,@BBC,0.5994,0.0,0.794,0.206,"RT @bbcpress: Congratulations @_RichardMadden, @MissKeeleyHawes, @Jed_Mercurio - @BBCOne’s #Bodyguard is the biggest new drama on British T…",Tue Sep 04 12:51:26 +0000 2018,7
7,@BBC,0.3612,0.0,0.884,0.116,RT @bbcwritersroom: Mike Bartlett is an award-winning writer with credits including hit drama #DoctorFoster and the stage and screen versio…,Tue Sep 04 12:36:34 +0000 2018,8
8,@BBC,0.0,0.0,1.0,0.0,"RT @BBCEarth: #NationalWildlifeDay by numbers. 

Find out more 👉 https://t.co/xoviRzi43h https://t.co/VzbUu0NfV6",Tue Sep 04 12:16:24 +0000 2018,9
9,@BBC,0.0,0.0,1.0,0.0,🐘 What's an elephant repellent and why would you need one? https://t.co/TnkBIFFyWK,Tue Sep 04 12:00:20 +0000 2018,10
10,@BBC,-0.5216,0.219,0.781,0.0,"Vegan or not, you'll love @Nigella_Lawson's lemon tendercake with blueberry compôte. 😋 https://t.co/fjvaE1YZpj https://t.co/TacH7eB1Xj",Tue Sep 04 11:11:08 +0000 2018,11
11,@BBC,-0.3182,0.197,0.674,0.13,RT @bbccomedy: And now a message from Feminists Who Ruin Things Men Used To Like. https://t.co/lmBz2xVij5,Tue Sep 04 10:20:54 +0000 2018,12
12,@BBC,0.0,0.0,1.0,0.0,Antisemitism is on the rise in the UK https://t.co/Z90iK1wNct,Tue Sep 04 08:00:01 +0000 2018,13
13,@BBC,0.0,0.0,1.0,0.0,"❤️ Marie is not interpreting a performance, she's performing an interpretation. https://t.co/gt8T9IaCwv",Tue Sep 04 07:01:04 +0000 2018,14
14,@BBC,-0.5267,0.268,0.732,0.0,"A documentary series following the search for missing people.

Reported Missing | 9pm | @BBCOne |… https://t.co/yXINmDRboH",Mon Sep 03 19:02:03 +0000 2018,15
