,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
0,@FoxNews,0.6908,0.0,0.759,0.241,"Lindsey Graham certain Kavanaugh 'is going to be on the Supreme Court,' weighs in on status of Mueller probe https://t.co/lqRvBINJvI",Wed Sep 05 02:30:15 +0000 2018,1
1,@FoxNews,-0.3182,0.161,0.839,0.0,"A 'Lack of Civility': @Judgenap Blasts Dems for 'Bitterness' at Kavanaugh Confirmation Hearing
 https://t.co/qos1MCA7xL",Wed Sep 05 02:23:48 +0000 2018,2
2,@FoxNews,0.3818,0.0,0.86,0.14,"President Trump's attorney @JaySekulow on reports Mueller will accept some written responses from @POTUS: ""I'm not… https://t.co/XUeZ6H5yMT",Wed Sep 05 02:19:00 +0000 2018,3
3,@FoxNews,0.5106,0.0,0.708,0.292,.@KimKardashian reportedly working to free another convicted felon https://t.co/Z8LqcIZ7Hz,Wed Sep 05 02:15:55 +0000 2018,4
4,@FoxNews,0.0,0.0,1.0,0.0,".@seanhannity on @Kaepernick7: ""There are millions of men and women who have really sacrificed everything for stran… https://t.co/43D4lQM5VT",Wed Sep 05 02:10:38 +0000 2018,5
5,@FoxNews,0.4588,0.0,0.833,0.167,"Pro-Trump candidate Geoff Diehl triumphs in Massachusetts primary, to take on Elizabeth Warren in November https://t.co/QBhEwk9uK5",Wed Sep 05 02:07:05 +0000 2018,6
6,@FoxNews,0.4019,0.0,0.816,0.184,TONIGHT: @FoxNewsNight has special Kavanaugh hearing coverage – @ShannonBream speaks with @SenTedCruz and… https://t.co/LOVCasA0hO,Wed Sep 05 02:00:00 +0000 2018,7
7,@FoxNews,-0.4767,0.205,0.795,0.0,"Wisconsin parents arrested after teen son dies during religious fast, police say. https://t.co/vShFdupaU6",Wed Sep 05 01:56:00 +0000 2018,8
8,@FoxNews,-0.34,0.179,0.821,0.0,"Crane smashes into Florida house, splits open roof, fire officials say. https://t.co/soutBML2Gl",Wed Sep 05 01:50:22 +0000 2018,9
9,@FoxNews,0.0,0.0,1.0,0.0,Kerry Perry quits as head of scandal-hit USA Gymnastics after nine months. https://t.co/YATJWTUFAh,Wed Sep 05 01:41:00 +0000 2018,10
10,@FoxNews,0.34,0.0,0.888,0.112,A San Diego firefighter met his match when he volunteered to play ping pong with a 101-year-old retiree after he sa… https://t.co/7jtYF7lOXG,Wed Sep 05 01:40:00 +0000 2018,11
11,@FoxNews,-0.34,0.171,0.753,0.075,"BREAKING: @AyannaPressley, Dem backed by @Ocasio2018, upsets @RepMikeCapuano in Massachusetts House primary. https://t.co/rTqD1msgsi",Wed Sep 05 01:34:09 +0000 2018,12
12,@FoxNews,0.0,0.0,1.0,0.0,Trump asks if Bob Woodward is a 'Dem operative' amid explosive book details. https://t.co/HthMsr3Vvb,Wed Sep 05 01:28:01 +0000 2018,13
13,@FoxNews,0.0,0.0,1.0,0.0,Philadelphia historian who holds deed to first ‘White House’ wants to sell vast collection. https://t.co/HLxvikPpGf,Wed Sep 05 01:23:00 +0000 2018,14
14,@FoxNews,-0.8625,0.516,0.484,0.0,"UPDATE: Mother arrested, charged with murder of Florida boy Jordan Belliveau. https://t.co/TbIX1IZoLD",Wed Sep 05 01:17:00 +0000 2018,15
15,@FoxNews,0.7906,0.0,0.696,0.304,"During his opening remarks to the Senate Judiciary Committee on Tuesday, Supreme Court Justice nominee Brett Kavana… https://t.co/TQE9AtldwH",Wed Sep 05 01:09:00 +0000 2018,16
16,@FoxNews,0.0,0.0,1.0,0.0,"Close to 90 elephants slaughtered near Africa wildlife sanctuary, group says. https://t.co/7e03My7Wka",Wed Sep 05 01:03:29 +0000 2018,17
17,@FoxNews,-0.34,0.231,0.769,0.0,"Brazil's biggest meteorite, other artifacts, survive massive fire https://t.co/Rob2fL1Kcq",Wed Sep 05 00:52:19 +0000 2018,18
18,@FoxNews,0.6249,0.0,0.683,0.317,"Sea lion who spent 4-day adventure inland finally rescued, back at sea https://t.co/5rrlMbL9Bn",Wed Sep 05 00:45:40 +0000 2018,19
19,@FoxNews,0.0,0.0,1.0,0.0,"Tropical Storm Gordon brings fierce winds ahead of expected landfall over Gulf Coast, possibly as hurricane: offici… https://t.co/Vm2XgVbLYk",Wed Sep 05 00:35:04 +0000 2018,20
20,@FoxNews,-0.2263,0.181,0.705,0.114,"NO PLACE LIKE HOME: The iconic red slippers worn by Judy Garland in ""The Wizard of Oz"" have been recovered 13 years… https://t.co/wkGub74TXq",Wed Sep 05 00:31:00 +0000 2018,21
21,@FoxNews,-0.8271,0.42,0.58,0.0,"Missing Florida boy Jordan Belliveau, 2, found dead in woods; search on for suspect https://t.co/7aOYuns3XX",Wed Sep 05 00:26:21 +0000 2018,22
22,@FoxNews,-0.1779,0.086,0.914,0.0,"Sen. @LindseyGrahamSC: ""At times Donald Trump drives me crazy, but he's produced, and Kavanaugh is the single best… https://t.co/r0fhrq1DYO",Wed Sep 05 00:11:04 +0000 2018,23
23,@FoxNews,0.6249,0.0,0.758,0.242,"Sen. @LindseyGrahamSC on report Mueller will accept some written answers from @POTUS: ""It sounds like they're makin… https://t.co/dytwLpwEks",Wed Sep 05 00:10:39 +0000 2018,24
24,@FoxNews,-0.2263,0.147,0.853,0.0,"Sen. Sasse, at Kavanaugh hearing, tears into Congress over 'politicized circus' https://t.co/wgFdKWVH4j",Wed Sep 05 00:10:15 +0000 2018,25
25,@FoxNews,-0.7599,0.237,0.763,0.0,"Iraq war veteran Sgt. Robert Bartlett: ""If you don't stand for the flag, you don't care about the flag and the very… https://t.co/bYw1XQH11h",Tue Sep 04 23:53:10 +0000 2018,26
26,@FoxNews,-0.296,0.196,0.804,0.0,California woman allegedly faked kidnapping to avoid paying employees. https://t.co/r1aaqqGrpt,Tue Sep 04 23:43:33 +0000 2018,27
27,@FoxNews,0.4391,0.0,0.847,0.153,".@RajShah45: ""I think that Judge Kavanaugh, unlike some other nominees, has a very clear and lengthy record.""… https://t.co/VLXC2ivRek",Tue Sep 04 23:35:49 +0000 2018,28
28,@FoxNews,0.6369,0.0,0.792,0.208,".@newtgingrich on allegations in @realBobWoodward's new book: ""The people who have the greatest standard for honest… https://t.co/esx9g2W1DM",Tue Sep 04 23:30:07 +0000 2018,29
29,@FoxNews,0.5994,0.063,0.732,0.205,"Georgia officer wounded in Walmart shootout in serious condition, mouthed to his wife: 'I love you' https://t.co/j7k6BY4Km4",Tue Sep 04 23:21:46 +0000 2018,30
30,@FoxNews,0.4588,0.0,0.824,0.176,"Tropical Storm Gordon strengthens, expected to make landfall over Gulf Coast, possibly as hurricane. https://t.co/J31apEx1qe",Tue Sep 04 23:15:45 +0000 2018,31
31,@FoxNews,0.0,0.0,1.0,0.0,"Sen. @OrrinHatch on Senate Democrats interjecting during today's Kavanaugh hearing: ""That's typical opposition tact… https://t.co/I3EOJMnGOE",Tue Sep 04 23:06:53 +0000 2018,32
32,@FoxNews,-0.4019,0.13,0.87,0.0,"Morgan Ortagus on Kavanaugh hearing: ""I don't think anything happened today to lose a single Republican vote and I… https://t.co/azYBvcQ8Eg",Tue Sep 04 23:02:26 +0000 2018,33
33,@FoxNews,0.4019,0.0,0.816,0.184,TONIGHT: @FoxNewsNight has special Kavanaugh hearing coverage – @ShannonBream speaks with @SenTedCruz and… https://t.co/jga2QTOgRx,Tue Sep 04 22:50:24 +0000 2018,34
34,@FoxNews,0.3182,0.0,0.887,0.113,An entire @ChickfilA restaurant in North Carolina came together to pray for an employee who was undergoing surgery… https://t.co/iKb4GIs9Zk,Tue Sep 04 22:45:19 +0000 2018,35
